,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aceh,87.13,87.41,87.49,87.07,87.34,86.51,86.40,86.52,86.43,85.56,86.55,86.47
Sumatera Utara,90.28,89.50,89.06,89.20,89.35,88.23,88.08,87.86,88.70,87.67,88.61,88.77
Sumatera Barat,86.66,86.71,86.90,88.05,87.11,86.35,85.91,86.21,85.65,85.06,87.96,88.43
R i a u,91.90,91.27,91.53,91.63,91.45,90.60,90.39,90.74,90.09,90.53,91.23,90.51
J a m b i,90.87,91.46,91.37,91.30,91.66,90.68,90.77,90.01,90.43,90.20,90.50,90.62
Sumatera Selatan,91.66,92.07,90.31,90.70,91.28,90.49,90.40,89.11,89.91,89.80,90.56,90.93
Bengkulu,91.96,92.99,92.70,91.71,93.42,92.64,91.91,91.68,92.62,91.73,92.19,91.82
Lampung,90.74,91.38,91.90,91.32,92.27,90.70,90.32,90.90,91.55,90.44,91.69,91.53
Kepulauan Bangka Belitung,89.84,89.49,89.76,89.88,89.43,89.29,89.90,89.25,89.52,87.87,88.33,88.71
Kepulauan Riau,91.84,92.48,91.03,91.87,90.86,90.58,89.40,89.63,89.48,90.06,88.71,87.15
DKI Jakarta,84.45,85.20,83.66,85.47,83.74,82.60,82.56,81.66,83.23,84.73,82.26,80.25
Jawa Barat,87.35,87.16,87.06,87.24,86.86,85.24,86.14,85.90,86.29,85.56,86.56,86.06
Jawa Tengah,87.56,87.79,87.38,87.42,87.38,86.08,86.08,85.14,84.86,85.02,87.51,88.27
DI Yogyakarta,80.42,80.64,80.47,79.88,81.63,80.55,80.19,80.53,79.75,79.69,82.11,83.05
Jawa Timur,87.53,87.81,87.77,87.90,87.54,86.32,86.63,86.74,87.54,86.34,88.45,88.65
Banten,88.54,89.21,88.64,88.93,87.90,86.71,85.50,86.61,86.40,86.35,85.98,85.95
B a l i,91.10,91.87,91.65,92.11,91.84,90.59,90.37,91.01,91.00,90.47,88.91,89.52
Nusa Tenggara Barat,87.00,87.31,88.05,87.10,85.66,85.85,85.54,85.73,85.54,84.05,86.83,87.55
Nusa Tenggara Timur,91.31,91.08,91.59,91.63,91.52,91.70,91.22,90.06,90.27,90.31,89.92,88.34
Kalimantan Barat,92.19,92.42,91.61,90.74,90.66,90.58,89.09,90.04,88.93,88.51,89.39,89.27
Kalimantan Tengah,94.15,93.35,93.66,93.55,92.75,92.34,92.15,92.06,91.66,91.55,91.52,91.71
Kalimantan Selatan,89.96,89.43,89.85,89.34,89.26,89.90,89.21,89.00,87.79,88.87,87.99,87.82
Kalimantan Timur,90.75,91.71,89.81,90.12,89.36,88.48,88.70,88.12,87.47,87.36,86.89,87.00
Kalimantan Utara,,,,,89.69,88.89,88.93,88.41,90.39,88.79,88.55,88.27
Sulawesi Utara,86.34,87.49,85.84,85.96,87.02,87.27,84.44,84.51,84.52,84.62,85.62,84.28
Sulawesi Tengah,92.39,91.79,91.88,92.32,91.89,90.45,90.55,89.25,90.00,90.42,90.76,89.68
Sulawesi Selatan,84.43,84.66,84.39,84.26,83.99,83.68,82.87,82.75,82.68,82.09,83.76,84.10
Sulawesi Tenggara,91.32,91.39,89.29,89.67,88.00,89.56,89.72,88.75,87.47,87.52,88.71,87.55
Gorontalo,90.48,91.28,90.82,90.20,92.43,90.67,91.70,90.83,89.52,91.00,90.74,90.36
Sulawesi Barat,92.22,92.18,91.99,92.36,92.86,92.63,92.12,90.76,90.06,91.03,91.21,88.34
Maluku,88.78,88.65,89.25,88.62,88.72,87.85,86.50,87.44,88.58,85.25,86.18,86.70
Maluku Utara,92.66,92.28,92.32,92.09,92.31,91.84,91.04,91.15,89.04,89.39,89.85,88.96
Papua Barat,92.90,93.16,92.58,93.05,92.33,92.25,92.41,90.43,91.68,90.39,91.64,89.66
P a p u a,97.08,96.53,95.90,95.88,96.34,95.88,95.40,94.73,95.05,95.05,94.32,94.22
INDONESIA,88.36,88.50,88.21,88.34,88.10,87.06,87.06,86.85,87.07,86.66,87.72,87.62