Province,Energy Generation (GWh),Maximum Generation aka Capacity (GWh),Optimal generation? ,Short by (GWh)
ACEH,5418.184195,9934.567809,0,-4516.383614
SUMATERA UTARA,15442.78483,32265.27232,0,-16822.48749
SUMATERA BARAT,3716.216443,9062.870019,0,-5346.653576
RIAU,9846.53415,21913.59359,0,-12067.05944
JAMBI,4652.658456,7224.840226,0,-2572.18177
SUMATERA SELATAN,6882.536526,13718.8067,0,-6836.270177
BENGKULU,7468.150508,12694.70503,0,-5226.554524
LAMPUNG,6376.697912,10038.37515,0,-3661.677242
KEP. BANGKA BELITUNG,3067.00461,3766.975184,0,-699.9705743
KEP. RIAU,6428.649232,13130.73129,0,-6702.082056
DKI JAKARTA,25861.10717,61591.47522,0,-35730.36804
JAWA BARAT,55248.01937,105142.4868,0,-49894.46743
JAWA TENGAH,23194.66197,43797.56141,0,-20602.89945
DI YOGYAKARTA,28364.38491,49252.56805,0,-20888.18315
JAWA TIMUR,25178.5496,52450.26532,0,-27271.71572
BANTEN,37029.31571,65928.4994,0,-28899.18369
BALI,4835.185981,8975.911373,0,-4140.725392
NUSA TENGGARA BARAT,4629.148779,6926.173984,0,-2297.025205
NUSA TENGGARA TIMUR,4831.742279,7827.048573,0,-2995.306294
KALIMANTAN BARAT,5261.46921,9837.25597,0,-4575.78676
KALIMANTAN TENGAH,109.5290767,2672.989995,0,-2563.460918
KALIMANTAN SELATAN,3507.565844,6131.312787,0,-2623.746943
KALIMANTAN TIMUR,3802.563555,11370.48268,0,-7567.919125
KALIMANTAN UTARA,605.4744478,2570.395062,0,-1964.920615
SULAWESI UTARA,7761.745718,13484.18779,0,-5722.442074
SULAWESI TENGAH,4153.346366,7045.062236,0,-2891.71587
SULAWESI SELATAN,7184.950593,13371.76229,0,-6186.811699
SULAWESI TENGGARA,5585.506761,8662.637537,0,-3077.130776
GORONTALO,4641.068513,8064.264142,0,-3423.195629
SULAWESI BARAT,6294.380979,9316.367674,0,-3021.986696
MALUKU,507.7060107,1807.0346,0,-1299.328589
MALUKU UTARA,2013.843908,3329.099125,0,-1315.255217
PAPUA BARAT,-2262.656444,1318.813373,0,-3581.469817
PAPUA,4165.998716,8729.533181,0,-4563.534465
INDONESIA,329397.0723,677903.714,0,-348506.6417